Date,Demand,,max,min,avg
04/27/2016,2.8,,7.8,-2.8,2.5
04/28/2016,2.5,,9.9,-2.1,3.9
04/29/2016,1.0,,12.5,-0.8,5.9
04/30/2016,0.5,,15.5,-2.6,6.5
05/01/2016,0.6,,9.1,4.2,6.7
05/02/2016,2.4,,14.8,0.7,7.8
05/03/2016,0.7,,16.8,0.8,8.8
05/04/2016,1.1,,16.5,3.2,9.9
05/05/2016,1.4,,17.9,3.9,10.9
05/06/2016,1.3,,22.2,2.2,12.2
05/07/2016,,,17,3,10
05/08/2016,0.7,,11.8,-0.1,5.9
05/09/2016,2.4,,12.1,-2.1,5
05/10/2016,2.0,,17.2,-1.4,7.9
05/11/2016,0.3,,22.2,1.1,11.7
05/12/2016,3.0,,24.4,2.3,13.4
05/13/2016,1.5,,17.6,7.3,12.5
05/14/2016,0.5,,10.4,1.2,5.8
05/15/2016,2.1,,4.9,0.8,2.9
05/16/2016,2.0,,12.5,-0.3,6.1
05/17/2016,2.2,,15.5,-0.2,7.7
05/18/2016,1.4,,16.2,0.4,8.3
05/19/2016,0.8,,19.6,4.7,12.2
05/20/2016,0.5,,21.4,2.5,12
05/21/2016,1.8,,22.7,8.8,15.8
05/22/2016,1.1,,21.2,6.5,13.9
05/23/2016,0.5,,24.5,4.8,14.7
05/24/2016,5.3,,26.5,4.2,15.4
05/25/2016,6.0,,25.9,12.1,19
05/26/2016,8.4,,23.2,13.8,18.5
05/27/2016,10.6,,28,16.1,22.1
05/28/2016,6.5,,30.8,16.1,23.5
05/29/2016,6.7,,29.6,17.3,23.5
05/30/2016,11.4,,22.7,12.5,17.6
05/31/2016,4.8,,20,9.6,14.8
06/01/2016,1.9,,22.4,9.9,16.2
06/02/2016,2.3,,27,10.5,18.8
06/03/2016,2.2,,23.1,9.3,16.2
06/04/2016,1.0,,24.4,8.2,16.3
06/05/2016,1.5,,22.8,13.6,18.2
06/06/2016,3.2,,21.2,9.8,15.5
06/07/2016,1.5,,17.1,9.2,13.2
06/08/2016,2.0,,11.6,4.9,8.3
06/09/2016,1.8,,16.7,3.5,10.1
06/10/2016,2.1,,20.8,3.7,12.3
06/11/2016,0.9,,27.2,11.5,19.4
06/12/2016,0.2,,16.7,9.7,13.2
06/13/2016,2.6,,15.3,7.4,11.4
06/14/2016,2.9,,20.5,3,11.8
06/15/2016,1.6,,24.3,4.9,14.6
06/16/2016,2.2,,26.6,12.6,19.6
06/17/2016,5.1,,29.2,9.5,19.4
06/18/2016,3.9,,29.3,11.7,20.5
06/19/2016,2.8,,31.1,12.8,22
06/20/2016,10.4,,31.6,14.2,22.9
06/21/2016,3.7,,22.6,9.9,16.3
06/22/2016,2.1,,20.8,7.7,14.3
06/23/2016,3.0,,23.7,6.9,15.3
06/24/2016,3.7,,25.9,7.7,16.8
06/25/2016,1.4,,,,
06/26/2016,2.2,,31.5,13.8,22.7
06/27/2016,7.3,,28.8,15.6,22.2
06/28/2016,2.1,,,13.8,
06/29/2016,2.1,,22.9,10.5,16.7
06/30/2016,2.5,,25.5,7.3,16.4
07/01/2016,0.5,,17.1,10.7,13.9
07/02/2016,1.1,,21.9,9.3,15.6
07/03/2016,0.4,,24.2,10.1,17.2
07/04/2016,3.3,,26.7,9.7,18.2
07/05/2016,2.9,,28.5,11.2,19.9
07/06/2016,4.8,,30.3,14.1,22.2
07/07/2016,8.0,,28.5,18.6,23.6
07/08/2016,6.6,,27.3,16.4,21.9
07/09/2016,1.5,,23.5,15.6,19.6
07/10/2016,1.0,,25.3,14.1,19.7
07/11/2016,3.2,,25.3,11.9,18.6
07/12/2016,5.0,,30.3,13.7,22
07/13/2016,8.4,,31.8,20,25.9
07/14/2016,4.6,,28.6,16.3,22.5
07/15/2016,2.4,,23.5,12.3,17.9
07/16/2016,0.2,,21.5,9.2,15.4
07/17/2016,1.1,,24.7,7.1,15.9
07/18/2016,6.2,,24.9,12.6,18.8
07/19/2016,3.4,,22.8,9.9,16.4
07/20/2016,2.1,,25.9,8.2,17.1
07/21/2016,3.6,,31.3,14.3,22.8
07/22/2016,1.9,,31.4,17.2,24.3
07/23/2016,3.0,,30,15.3,22.7
07/24/2016,1.0,,25.9,14.7,20.3
07/25/2016,5.3,,28.9,18.1,23.5
07/26/2016,4.5,,27.9,13.3,20.6
07/27/2016,5.1,,30.2,12.9,21.6
07/28/2016,4.1,,,17.3,
07/29/2016,4.0,,26.7,15.9,21.3
07/30/2016,0.8,,25.8,14.1,20
07/31/2016,0.5,,25.4,17.5,21.5
08/01/2016,1.7,,28.4,15.2,21.8
08/02/2016,5.6,,29.7,13.5,21.6
08/03/2016,5.5,,30.5,13.5,22
08/04/2016,4.9,,32.3,13.9,23.1
08/05/2016,5.3,,31.9,18.6,25.3
08/06/2016,1.3,,26.5,15.7,21.1
08/07/2016,1.1,,25.8,12,18.9
08/08/2016,4.2,,28.4,11.4,19.9
08/09/2016,4.0,,30.4,10.8,20.6
08/10/2016,4.0,,32.6,15,23.8
08/11/2016,5.4,,32.6,15.6,24.1
08/12/2016,7.7,,,23,
08/13/2016,3.4,,25.5,20.1,22.8
08/14/2016,1.5,,24.8,13.8,19.3
08/15/2016,3.8,,26.5,11.5,19
08/16/2016,1.2,,24.7,14.8,19.8
08/17/2016,3.7,,26.4,,
08/18/2016,4.2,,26.4,15.3,20.9
08/19/2016,3.4,,28.9,13.7,21.3
08/20/2016,2.2,,29.2,17.6,23.4
08/21/2016,1.1,,24.4,12.1,18.3
08/22/2016,3.0,,21.2,7.9,14.6
08/23/2016,2.2,,27,9.6,18.3
08/24/2016,2.1,,27.9,12.6,20.3
08/25/2016,3.9,,27.1,17.7,22.4
08/26/2016,2.4,,26.5,13.3,19.9
08/27/2016,0.6,,25,11.6,18.3
08/28/2016,0.9,,27.2,15.8,21.5
08/29/2016,2.4,,25,11.9,18.5
08/30/2016,1.9,,28.7,11.2,20
08/31/2016,2.3,,24.5,13.7,19.1
09/01/2016,1.5,,20.7,12.1,16.4
09/02/2016,1.1,,20.5,8.1,14.3
09/03/2016,0.2,,22,7.6,14.8
09/04/2016,0.8,,23.9,7,15.5
09/05/2016,0.7,,27.3,7.7,17.5
09/06/2016,3.9,,30.3,13.9,22.1
09/07/2016,4.3,,30,19.3,24.7
09/08/2016,1.7,,26.9,17.2,22.1
09/09/2016,1.1,,24.4,12.7,18.6
09/10/2016,0.7,,26.3,11.7,19
09/11/2016,1.2,,18.9,6.5,12.7
09/12/2016,1.6,,23,6.5,14.8
09/13/2016,1.8,,25.7,7.2,16.5
09/14/2016,0.9,,18.6,7.6,13.1
09/15/2016,0.8,,18.6,5.5,12.1
09/16/2016,1.2,,22.6,4.6,13.6
09/17/2016,1.1,,21.1,16.3,18.7
09/18/2016,0.4,,24.5,12.7,18.6
09/19/2016,3.3,,25.1,9.9,17.5
09/20/2016,0.9,,23.9,10.3,17.1
09/21/2016,1.2,,24.4,8.1,16.3
09/22/2016,2.6,,25.1,10.2,17.7
09/23/2016,2.7,,16.9,,
09/24/2016,1.5,,16.7,3.7,10.2
09/25/2016,2.1,,15.8,2.2,9
09/26/2016,4.6,,15.1,9.1,12.1
09/27/2016,2.8,,19.4,6.1,12.8
09/28/2016,2.6,,21.9,9,15.5
09/29/2016,1.5,,16.3,12.5,14.4
09/30/2016,1.8,,18.6,13.3,16
10/01/2016,0.6,,14.4,12.3,13.4
10/02/2016,0.2,,19.1,13.6,16.4
10/03/2016,1.7,,16.4,10.9,13.7
10/04/2016,1.6,,19.8,13.2,16.5
10/05/2016,1.3,,20.5,11.8,16.2
10/06/2016,1.1,,23.1,10.6,16.9
10/07/2016,1.5,,22.4,10.1,16.3
10/08/2016,0.5,,15.9,5,10.5
10/09/2016,2.3,,11,-1.3,4.9
10/10/2016,3.5,,12.9,-2.9,5
10/11/2016,5.7,,16.3,-1.4,7.5
10/12/2016,4.3,,20.8,3.8,12.3
10/13/2016,2.1,,16.2,0.2,8.2
10/14/2016,4.0,,14.7,-0.1,7.3
10/15/2016,2.3,,18.3,6.9,12.6
10/16/2016,0.2,,18.6,8.6,13.6
10/17/2016,2.8,,15.9,9,12.5
10/18/2016,1.0,,24.3,12.5,18.4
10/19/2016,1.3,,18.6,7,12.8
10/20/2016,3.4,,13.8,8.6,11.2
10/21/2016,4.0,,10.1,2.1,6.1
10/22/2016,3.8,,7.2,1.3,4.3
10/23/2016,3.3,,11,-1,5
10/24/2016,8.9,,6.8,2,4.4
10/25/2016,7.3,,5.5,-0.6,2.5
10/26/2016,6.2,,3.4,-3.8,-0.2
10/27/2016,6.5,,1.9,-1,0.5
10/28/2016,3.7,,8,-2.2,2.9
10/29/2016,1.6,,17.9,7.8,12.9
10/30/2016,1.4,,7.8,-3.4,2.2
10/31/2016,4.1,,6.2,-4.8,0.7
11/01/2016,4.0,,13.8,3.5,8.7
11/02/2016,1.9,,16.9,4.8,10.9
11/03/2016,2.2,,12.2,3.5,7.9
11/04/2016,3.0,,10,-1.1,4.5
11/05/2016,0.9,,14.6,6.3,10.5
11/06/2016,0.9,,11.8,-1.6,5.1
11/07/2016,2.7,,18.3,-2.9,7.7
11/08/2016,2.2,,16.2,1.1,8.7
11/09/2016,4.2,,7.1,-3,2.1
11/10/2016,4.1,,17.4,-3.1,7.2
11/11/2016,2.7,,11,-4.6,3.2
11/12/2016,3.3,,8.9,-3,3
11/13/2016,0.4,,12.8,-0.7,6.1
11/14/2016,4.4,,13.8,-0.3,6.8
11/15/2016,1.9,,13.2,-2.7,5.3
11/16/2016,3.4,,9.8,-0.1,4.9
11/17/2016,2.2,,11.7,-4.2,3.8
11/18/2016,1.7,,17.1,3.4,10.3
11/19/2016,1.6,,14.3,-0.9,6.7
11/20/2016,3.1,,0.7,-3.9,-1.6
11/21/2016,5.1,,-1.2,-3.6,-2.4
11/22/2016,5.6,,-0.1,-8.1,-4.1
11/23/2016,4.0,,,-8.1,
11/24/2016,4.2,,1.2,-1.6,-0.2
11/25/2016,2.4,,4.9,1.2,3.1
11/26/2016,1.9,,5.5,-0.4,2.6
11/27/2016,0.2,,3.4,-2.1,0.7
11/28/2016,4.2,,7.8,-1.9,3
11/29/2016,2.8,,13.2,3.3,8.3
11/30/2016,2.6,,9.4,2.9,6.2
12/01/2016,2.2,,6.7,2.9,4.8
12/02/2016,2.4,,3.8,0.1,2
12/03/2016,1.3,,1.9,-5.3,-1.7
12/04/2016,1.6,,0.2,-8.2,-4
12/05/2016,3.3,,3.3,-2,0.7
12/06/2016,3.3,,2.6,-1.6,0.5
12/07/2016,4.4,,1.4,0,0.7
12/08/2016,2.4,,0.5,-6.1,-2.8
12/09/2016,2.8,,-4.8,-14,-9.4
12/10/2016,3.8,,-3.9,-16.2,-10.1
12/11/2016,2.3,,-1.8,-9.8,-5.8
12/12/2016,3.3,,0.6,-7.8,-3.6
12/13/2016,4.2,,-1.3,-7.8,-4.6
12/14/2016,3.9,,-6.1,-10.9,-8.5
12/15/2016,7.5,,-10.3,-20.4,-15.4
12/16/2016,7.4,,-6.7,-22.7,-14.7
12/17/2016,2.8,,-2.2,-7.6,-4.9
12/18/2016,2.7,,-3.2,-14.5,-8.9
12/19/2016,5.5,,-8.6,-18.2,-13.4
12/20/2016,5.3,,-0.3,-12.1,-6.2
12/21/2016,3.7,,1.3,-3.5,-1.1
12/22/2016,2.1,,2,-3.6,-0.8
12/23/2016,1.8,,1.5,-4,-1.3
12/24/2016,1.7,,2.4,-0.1,1.2
12/25/2016,1.1,,2,-8.7,-3.4
12/26/2016,1.7,,8.1,-9,-0.5
12/27/2016,1.9,,4.2,-3.8,0.2
12/28/2016,2.2,,-1.7,-5.6,-3.7
12/29/2016,3.6,,1.1,-2.5,-0.7
12/30/2016,1.1,,-1.5,-7.4,-4.5
12/31/2016,1.1,,0.7,-5.1,-2.2
01/01/2017,0.2,,-0.1,-12.3,-6.2
01/02/2017,2.6,,1.6,-12.5,-5.5
01/03/2017,3.3,,0.9,0.4,0.7
01/04/2017,2.6,,1.4,-9.2,-3.9
01/05/2017,3.4,,-7.3,-13.9,-10.6
01/06/2017,4.3,,-8,-21.5,-14.8
01/07/2017,3.9,,-7.8,-23.9,-15.9
01/08/2017,3.8,,-11.5,-16.5,-14
01/09/2017,6.9,,-5.8,-13.7,-9.8
01/10/2017,2.8,,5.6,-6.3,-0.4
01/11/2017,2.9,,5.2,-1.1,2.1
01/12/2017,3.1,,4.6,-3.7,0.5
01/13/2017,5.1,,-2.8,-17,-9.9
01/14/2017,2.6,,-4.7,-19.1,-11.9
01/15/2017,2.1,,-0.8,-10.2,-5.5
01/16/2017,2.4,,2.4,-14.7,-6.2
01/17/2017,1.4,,-0.5,-9.4,-5
01/18/2017,2.4,,1.1,-0.5,0.3
01/19/2017,2.4,,1.4,0.2,0.8
01/20/2017,2.9,,1.6,-0.3,0.7
01/21/2017,1.3,,2.4,0,1.2
01/22/2017,0.7,,3.7,0.4,2.1
01/23/2017,2.4,,2,-0.6,0.7
01/24/2017,3.6,,-0.5,-2.6,-1.6
01/25/2017,2.8,,2.4,-2.1,0.2
01/26/2017,3.1,,0.7,-1.4,-0.4
01/27/2017,2.0,,-0.3,-2.5,-1.4
01/28/2017,2.8,,-1.1,-4.8,-3
01/29/2017,2.4,,-4.6,-14.5,-9.6
01/30/2017,2.9,,-9.7,-20.7,-15.2
01/31/2017,3.8,,-4.7,-19.2,-12
02/01/2017,2.7,,-0.9,-7.7,-4.3
02/02/2017,3.5,,-5.6,-9.8,-7.7
02/03/2017,1.7,,-6.3,-10,-8.2
02/04/2017,2.9,,-4.4,-9.4,-6.9
02/05/2017,2.6,,-0.9,-9.8,-5.4
02/06/2017,5.4,,-2,-10.4,-6.2
02/07/2017,3.9,,2.4,-4.7,-1.2
02/08/2017,4.4,,2.2,-12.7,-5.3
02/09/2017,3.3,,-7.6,-18.3,-13
02/10/2017,5.4,,-4.7,-13.1,-8.9
02/11/2017,2.3,,0.8,-5.1,-2.2
02/12/2017,0.9,,-0.4,-6.9,-3.7
02/13/2017,4.1,,-2.4,-13.9,-8.2
02/14/2017,1.9,,2.4,-15.1,-6.4
02/15/2017,3.6,,-0.2,-10.6,-5.4
02/16/2017,2.4,,-6.9,-15.2,-11.1
02/17/2017,2.0,,-2.2,-7.5,-4.9
02/18/2017,0.8,,10.6,-10,0.3
02/19/2017,0.5,,6,-3,1.5
02/20/2017,0.3,,2.6,-6.8,-2.1
02/21/2017,2.1,,3.9,-2.5,0.7
02/22/2017,2.9,,7.2,1.5,4.4
02/23/2017,1.7,,13.6,1.6,7.6
02/24/2017,2.5,,1.9,0.8,1.4
02/25/2017,1.5,,5.6,-4.2,0.7
02/26/2017,1.2,,2.1,-5.6,-1.8
02/27/2017,5.3,,2.6,-3.8,-0.6
02/28/2017,2.1,,7,-6.9,0.1
03/01/2017,1.5,,11.3,-9.2,1.1
03/02/2017,3.5,,,-12,
03/03/2017,1.5,,-8.1,-14.9,-11.5
03/04/2017,2.4,,-10.3,-21.3,-15.8
03/05/2017,3.8,,-5.1,-22.5,-13.8
03/06/2017,2.5,,3.6,-5.9,-1.2
03/07/2017,1.8,,11.7,3.5,7.6
03/08/2017,2.8,,6.8,-4.1,1.4
03/09/2017,3.6,,-1.5,-5.4,-3.5
03/10/2017,2.6,,-4.2,-15.3,-9.8
03/11/2017,3.2,,-11.6,-18.4,-15
03/12/2017,1.7,,-9.6,-19.5,-14.6
03/13/2017,4.7,,-9.3,-18.2,-13.8
03/14/2017,4.2,,-7.9,-13.4,-10.7
03/15/2017,2.8,,-4.9,-12.1,-8.5
03/16/2017,1.7,,-1.3,-9.7,-5.5
03/17/2017,2.2,,4.5,-9.2,-2.4
03/18/2017,0.9,,0.9,-2.2,-0.7
03/19/2017,0.8,,6.9,-3.3,1.8
03/20/2017,2.7,,5.9,-3.1,1.4
03/21/2017,1.8,,8.1,-8.2,-0.1
03/22/2017,3.2,,-5.4,-12.4,-8.9
03/23/2017,3.4,,2.6,-11.8,-4.6
03/24/2017,2.3,,8.7,-1.2,3.8
03/25/2017,1.2,,3.8,-0.7,1.6
03/26/2017,1.6,,2.6,-1,0.8
03/27/2017,2.0,,14.7,2.5,8.6
03/28/2017,2.0,,6.5,-0.7,2.9
03/29/2017,1.6,,7,-3.2,1.9
03/30/2017,2.2,,2.7,-2,0.4
03/31/2017,1.9,,1.6,-0.5,0.6
04/01/2017,0.5,,9.2,-0.2,4.5
04/02/2017,0.8,,12.3,-0.1,6.1
04/03/2017,1.8,,12.1,1.4,6.8
04/04/2017,2.2,,8.5,1.8,5.2
04/05/2017,1.7,,9,2.1,5.6
04/06/2017,2.2,,4.3,-0.1,2.1
04/07/2017,3.6,,3.9,-2.9,0.5
04/08/2017,0.7,,9.8,-3,3.4
04/09/2017,0.5,,19.4,-1.7,8.9
04/10/2017,1.2,,22.5,6.3,14.4
04/11/2017,1.3,,16.1,3.9,10
04/12/2017,3.1,,4.4,-0.8,1.8
04/13/2017,1.8,,12.3,-1.9,5.2
04/14/2017,0.7,,14.9,-1.8,6.6
04/15/2017,0.2,,17.7,0.3,9
04/16/2017,0.2,,18.5,6.4,12.5
04/17/2017,2.1,,7.2,-1,3.1
04/18/2017,1.2,,10.4,-3.3,3.6
04/19/2017,0.5,,16.7,4.8,10.8
04/20/2017,3.0,,6.6,3.7,5.2
04/21/2017,1.3,,10.2,3.8,7
04/22/2017,0.3,,12.2,0.7,6.5
04/23/2017,0.5,,19.2,-2.1,8.6
04/24/2017,2.4,,15.8,2.3,9.1
04/25/2017,2.4,,9.4,5,7.2
04/26/2017,0.8,,16,7.8,11.9
04/27/2017,2.9,,25.4,8.3,16.9
04/28/2017,2.6,,18.4,6.1,12.3
04/29/2017,0.7,,10.2,3.6,6.9
04/30/2017,1.5,,5.9,2,4
05/01/2017,3.4,,14,3.6,8.8
05/02/2017,1.6,,10.3,3,6.7
05/03/2017,2.3,,11.3,0.6,6
05/04/2017,2.1,,10.2,0.4,5.3
05/05/2017,3.1,,7.5,4.2,5.9
05/06/2017,1.0,,6.7,3.2,5
05/07/2017,1.2,,7.9,1.2,4.6
05/08/2017,2.1,,7.5,-2.6,2.5
05/09/2017,1.9,,9.8,1,5.4
05/10/2017,1.1,,13.1,2.8,8
05/11/2017,1.4,,14,2.6,8.3
05/12/2017,2.5,,14.9,2.2,8.6
05/13/2017,0.7,,14.9,4.2,9.6
05/14/2017,0.2,,13.9,2.7,8.3
05/15/2017,2.2,,16.9,5,11
05/16/2017,1.8,,17.3,4.6,11
05/17/2017,5.9,,29.6,8.9,19.3
05/18/2017,12.3,,29.3,12.6,21
05/19/2017,4.7,,15.1,5.7,10.4
05/20/2017,0.5,,17,2.7,9.9
05/21/2017,0.8,,13.4,9.3,11.4
05/22/2017,0.9,,14.6,4.5,9.6
05/23/2017,3.4,,18.8,3.9,11.4
05/24/2017,3.3,,22.7,9.5,16.1
05/25/2017,2.7,,16.4,11.4,13.9
05/26/2017,1.7,,17.3,11.4,14.4
05/27/2017,0.7,,18.8,8.4,13.6
05/28/2017,0.5,,22.4,7.6,15
05/29/2017,3.5,,24,10.6,17.3
05/30/2017,3.3,,21.3,9.3,15.3
05/31/2017,2.0,,20.1,7.3,13.7
06/01/2017,2.7,,15.2,4.9,10.1
06/02/2017,2.5,,16.1,4.4,10.3
06/03/2017,0.2,,20.5,5.6,13.1
06/04/2017,0.2,,12.4,10.2,11.3
06/05/2017,1.9,,16.1,11.3,13.7
06/06/2017,2.8,,15.2,6.8,11
06/07/2017,3.0,,21.6,4.8,13.2
06/08/2017,3.2,,23.2,7,15.1
06/09/2017,3.8,,23.7,9.6,16.7
06/10/2017,3.8,,27.8,10.7,19.3
06/11/2017,12.8,,29.4,19.4,24.4
06/12/2017,19.1,,30,20.4,25.2
06/13/2017,10.9,,23.7,12.7,18.2
06/14/2017,4.7,,22.8,11.1,17
06/15/2017,4.1,,19,12.5,15.8
06/16/2017,5.6,,28,15.4,21.7
06/17/2017,2.3,,25.9,15.1,20.5
06/18/2017,1.9,,27.4,15.8,21.6
06/19/2017,6.1,,23.4,12.9,18.2
06/20/2017,1.7,,18.8,11.9,15.4
06/21/2017,1.5,,20.6,9.4,15
06/22/2017,1.6,,22,7.9,15
06/23/2017,2.4,,23,13.8,18.4
06/24/2017,1.4,,21.3,11.1,16.2
06/25/2017,0.4,,19.3,9,14.2
06/26/2017,2.2,,18.1,8.4,13.3
06/27/2017,1.9,,18.4,6.8,12.6
06/28/2017,2.7,,,,
06/29/2017,2.5,,24,14.3,19.2
06/30/2017,3.8,,27.3,15.2,21.3
07/01/2017,1.2,,24.1,13.9,19
07/02/2017,0.8,,22.4,12.6,17.5
07/03/2017,1.4,,22.3,11.3,16.8
07/04/2017,2.2,,24.8,10.1,17.5
07/05/2017,4.1,,25.8,9.7,17.8
07/06/2017,4.3,,29.1,12.5,20.8
07/07/2017,5.2,,26.2,15.9,21.1
07/08/2017,1.2,,22.1,12.8,17.5
07/09/2017,0.9,,24.3,12.5,18.4
07/10/2017,5.5,,24.8,15.6,20.2
07/11/2017,3.7,,26.3,14.9,20.6
07/12/2017,5.3,,25.5,13.5,19.5
07/13/2017,1.3,,17.5,14.1,15.8
07/14/2017,2.6,,22.9,15.8,19.4
07/15/2017,0.7,,24.9,13.8,19.4
07/16/2017,0.4,,23,13.8,18.4
07/17/2017,3.4,,25.6,15.9,20.8
07/18/2017,2.3,,26.2,13.6,19.9
07/19/2017,5.3,,26.8,13.3,20.1
07/20/2017,4.2,,24.4,12.3,18.4
07/21/2017,2.9,,25.6,15.7,20.7
07/22/2017,0.7,,24.2,14.3,19.3
07/23/2017,0.5,,24.2,18.1,21.2
07/24/2017,1.9,,18.2,14.1,16.2
07/25/2017,3.0,,23.1,12.6,17.9
07/26/2017,2.8,,20.5,10.3,15.4
07/27/2017,0.6,,26.1,16,21.1
07/28/2017,1.4,,22,13.7,17.9
07/29/2017,1.0,,26.2,11.5,18.9
07/30/2017,0.7,,26.8,14.6,20.7
